,week_num,week_obs,intention,intention_prop
0,1,12960,1422,10.972222222222221
1,2,15766,2292,14.537612584041609
2,3,14552,1911,13.13221550302364
3,4,16086,2265,14.080566952629615
4,5,14165,2048,14.45817154959407
5,6,12183,1972,16.186489370434213
6,7,11656,1755,15.05662319835278
7,8,15224,2373,15.587230688386757
8,9,21385,3211,15.015197568389057
9,10,22723,3146,13.84500286053778
10,11,413345,55232,13.362203486191921
11,12,117188,13093,11.172645663378503
12,13,222637,26476,11.892003575326653
13,14,26769,3265,12.196944226530688
14,15,429261,42019,9.788683341836318
