,week_num,week_obs,clot,experiment,effective,effects,concerns,clot_prop,experiment_prop,effective_prop,effects_prop,concerns_prop,clot_prop_tot
0,1,12960,359,451,272,321,1403,25.588025659301497,32.145402708481825,19.38702779757662,22.879543834640057,10.825617283950617,2.7700617283950617
1,2,15766,348,453,230,416,1447,24.04975812024879,31.306150656530754,15.894955079474775,28.74913614374568,9.177977927185081,2.207281491817836
2,3,14552,336,432,290,409,1467,22.903885480572598,29.447852760736197,19.76823449216087,27.880027266530334,10.081088510170423,2.308960967564596
3,4,16086,456,479,501,445,1881,24.242424242424242,25.465178096757043,26.634768740031898,23.657628920786816,11.693397985826184,2.834763148079075
4,5,14165,357,415,363,406,1541,23.16677482154445,26.93056456846204,23.556132381570407,26.3465282284231,10.878926932580304,2.520296505471232
5,6,12183,311,292,299,329,1231,25.264012997562958,23.72055239642567,24.289195775792038,26.726238830219334,10.104243618156447,2.5527374209964706
6,7,11656,251,306,239,292,1088,23.06985294117647,28.125,21.966911764705884,26.83823529411765,9.334248455730954,2.1533973919011666
7,8,15224,542,468,260,372,1642,33.00852618757612,28.501827040194883,15.834348355663824,22.655298416565163,10.78560168155544,3.560168155543878
8,9,21385,639,509,383,479,2010,31.791044776119403,25.323383084577113,19.054726368159205,23.83084577114428,9.399111526771101,2.988075754033201
9,10,22723,587,514,351,470,1922,30.541103017689906,26.742976066597294,18.262226847034338,24.45369406867846,8.458390177353342,2.5832856577036485
10,11,413345,20140,16248,10598,14197,61183,32.917640521059774,26.55639638461664,17.321805076573558,23.20415801775003,14.801920913522602,4.872443116524937
11,12,117188,3073,4100,2867,3642,13682,22.460166642303758,29.966379184329778,20.95453881011548,26.618915363250988,11.67525685223743,2.622282144929515
12,13,222637,7295,9188,5438,8908,30829,23.662785040059685,29.80310746375166,17.63923578448863,28.894871711700024,13.847204193373068,3.276634162336
13,14,26769,595,773,489,775,2632,22.606382978723403,29.369300911854104,18.5790273556231,29.445288753799392,9.83226866898278,2.222720310807277
14,15,429261,41168,18633,10772,17503,88076,46.74145056542077,21.155592897043462,12.230346518915482,19.872610018620282,20.518053119197877,9.59043565569665
