,week_num,week_obs,obs,refusal_prop
0,1,12960,137,1.0570987654320987
1,2,15766,156,0.9894710135735126
2,3,14552,127,0.8727322704782847
3,4,16086,174,1.081685938082805
4,5,14165,124,0.8753971055418285
5,6,12183,111,0.9111056390051712
6,7,11656,106,0.9094028826355525
7,8,15224,129,0.847346295323174
8,9,21385,183,0.8557400046761748
9,10,22723,191,0.8405580249086828
10,11,413345,4723,1.1426290386964884
11,12,117188,1197,1.0214356418745947
12,13,222637,2543,1.142218050009657
13,14,26769,212,0.7919608502372147
14,15,429261,5056,1.1778381916829155
