,week_num,week_obs,policies,rollout,passports,schools,trump,political,policies_prop,rollout_prop,passports_prop,schools_prop,trump_prop,political_prop
0,1,12960,706,19,14,414,672,1825,38.68493150684932,1.0410958904109588,0.7671232876712328,22.684931506849313,36.821917808219176,14.08179012345679
1,2,15766,769,49,11,564,881,2274,33.817062445030786,2.154793315743184,0.4837291116974494,24.80211081794195,38.74230430958663,14.423442851706204
2,3,14552,809,76,22,551,1150,2608,31.01993865030675,2.914110429447853,0.843558282208589,21.12730061349693,44.09509202453988,17.921935129191862
3,4,16086,952,80,14,929,854,2829,33.6514669494521,2.8278543655001767,0.4948745139625309,32.8384588193708,30.187345351714388,17.586721372622154
4,5,14165,848,42,14,1076,599,2579,32.880961613028305,1.6285381930981,0.5428460643660333,41.721597518417994,23.226056611089568,18.20684786445464
5,6,12183,696,55,14,850,479,2094,33.2378223495702,2.626552053486151,0.6685768863419294,40.592168099331424,22.874880611270296,17.187884757448906
6,7,11656,642,36,25,852,788,2343,27.40076824583867,1.5364916773367479,1.0670081092616304,36.36363636363637,33.63209560392659,20.101235415236786
7,8,15224,900,56,26,807,622,2411,37.328909166321026,2.3226876814599753,1.0783907092492742,33.47158855246786,25.798423890501866,15.836836573830794
8,9,21385,1556,140,52,1064,1175,3987,39.02683722096815,3.511412089290193,1.3042387760220717,26.686731878605467,29.47078003511412,18.643909282207154
9,10,22723,1386,227,32,672,1644,3961,34.991163847513256,5.730876041403686,0.8078767987881847,16.96541277455188,41.504670537742996,17.4316771553052
10,11,413345,29938,3307,1361,8981,28053,71640,41.78950307091011,4.616136236739252,1.8997766610831937,12.536292573981017,39.15829145728643,17.331768861362786
11,12,117188,8072,293,1458,2601,4583,17007,47.4628094314106,1.7228200152878226,8.572940553889575,15.29370259304992,26.947727406362088,14.51257807966686
12,13,222637,19851,1078,7424,7242,9692,45287,43.83377128094155,2.3803740587806654,16.39322542893104,15.991344094331707,21.401285137015037,20.34118318159156
13,14,26769,1591,58,386,717,742,3494,45.53520320549514,1.659988551803091,11.047510017172295,20.5208929593589,21.23640526617058,13.052411371362396
14,15,429261,30944,2469,2093,6881,14444,56831,54.44915627034541,4.34445988984885,3.682849149231933,12.107828473896289,25.415706216677517,13.239264689780809
